                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2983,                    inf,                0.86638,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0792,                 0.0052,                 0.0052
                      1,                 1.8925,                    inf,                 1.1438,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.05739,                0.01039,                0.01039
                      2,                 2.3793,                    inf,                 1.3356,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.035366,               0.015366,               0.015366
                      3,                 2.8556,                    inf,                 1.4752,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.018812,               0.018812,               0.018812
                      4,                 1.9135,                    inf,                0.93142,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.018812,               0.018812,               0.018812
                      5,                 2.0645,                    inf,                 1.1073,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.018416,               0.018416,               0.018416
                      6,                 2.4836,                    inf,                 1.4194,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.01802,                0.01802,                0.01802
                      7,                  2.881,                    inf,                 1.7758,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.017624,               0.017624,               0.017624
                      8,                 3.1369,                    inf,                 1.9788,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.017228,               0.017228,               0.017228
                      9,                 2.8124,                    inf,                 1.7092,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.016832,               0.016832,               0.016832
                     10,                 3.2551,                    inf,                 1.8932,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.016436,               0.016436,               0.016436
                     11,                 2.2675,                    inf,                 1.4918,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.01604,                0.01604,                0.01604
                     12,                 1.7756,                    inf,                 1.0596,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.015644,               0.015644,               0.015644
                     13,                 2.5111,                    inf,                 1.6802,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.015248,               0.015248,               0.015248
                     14,                 3.3171,                    inf,                 1.9398,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.014852,               0.014852,               0.014852
                     15,                 1.9903,                    inf,                 1.1957,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.014456,               0.014456,               0.014456
                     16,                 2.1507,                    inf,                 1.4551,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.01406,                0.01406,                0.01406
                     17,                 2.4409,                    inf,                 1.6532,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.013664,               0.013664,               0.013664
                     18,                0.56392,                    nan,                0.29665,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.013268,               0.013268,               0.013268
                     19,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.012872,               0.012872,               0.012872
                     20,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.012476,               0.012476,               0.012476
                     21,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.01208,                0.01208,                0.01208
                     22,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.011684,               0.011684,               0.011684
                     23,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.011288,               0.011288,               0.011288
                     24,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.010892,               0.010892,               0.010892
                     25,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.010496,               0.010496,               0.010496
                     26,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                 0.0101,                 0.0101,                 0.0101
                     27,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.009704,               0.009704,               0.009704
                     28,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.009308,               0.009308,               0.009308
                     29,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.008912,               0.008912,               0.008912
                     30,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.008516,               0.008516,               0.008516
                     31,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00812,                0.00812,                0.00812
                     32,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.007724,               0.007724,               0.007724
                     33,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.007328,               0.007328,               0.007328
                     34,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.006932,               0.006932,               0.006932
                     35,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.006536,               0.006536,               0.006536
                     36,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00614,                0.00614,                0.00614
                     37,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.005744,               0.005744,               0.005744
                     38,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.005348,               0.005348,               0.005348
                     39,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.004952,               0.004952,               0.004952
                     40,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.004556,               0.004556,               0.004556
                     41,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00416,                0.00416,                0.00416
                     42,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.003764,               0.003764,               0.003764
                     43,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.003368,               0.003368,               0.003368
                     44,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.002972,               0.002972,               0.002972
                     45,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.002576,               0.002576,               0.002576
                     46,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00218,                0.00218,                0.00218
                     47,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001784,               0.001784,               0.001784
                     48,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001388,               0.001388,               0.001388
                     49,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000992,               0.000992,               0.000992
