                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7336,                 19.541,                 1.5914,                0.00129,                0.22655,                0.02488,                0.01543,                      0,                    inf,                      0,                 0.0867,                 0.0057,                 0.0057
                      1,                 2.2991,                 3.8658,                 1.2426,                0.50667,                0.04661,                0.00335,                0.00157,                      0,                    inf,                      0,               0.072546,               0.011546,               0.011546
                      2,                 2.4282,                 3.2727,                 1.2745,                0.63871,                0.21943,                0.20334,                0.08355,                      0,                    inf,                      0,               0.058233,               0.017233,               0.017233
                      3,                 2.4498,                 3.6814,                 1.2691,                0.26821,                0.04889,                0.01291,                0.00498,                      0,                    inf,                      0,               0.043761,               0.022761,               0.022761
                      4,                 2.5693,                 3.9943,                 1.3724,                0.25013,                0.00424,                  4e-05,                  1e-05,                      0,                    inf,                      0,               0.029132,               0.028132,               0.028132
                      5,                 2.7602,                 3.3798,                 1.4508,                0.25013,                0.00424,                  4e-05,                  1e-05,                      0,                    nan,                      0,                0.02802,                0.02802,                0.02802
                      6,                 2.5274,                  3.072,                 1.3481,                0.25013,                0.00424,                  4e-05,                  1e-05,                      0,                    inf,                      0,                0.02802,                0.02802,                0.02802
                      7,                 2.5224,                 2.8212,                 1.3045,                0.25029,                0.05508,                0.00012,                  2e-05,                      0,                    inf,                      0,               0.027624,               0.027624,               0.027624
                      8,                 2.5397,                 2.7467,                 1.2899,                0.85196,                0.14454,                0.13714,                0.06166,                      0,                    inf,                      0,               0.027228,               0.027228,               0.027228
                      9,                 2.3055,                 2.4336,                 1.2398,                0.85196,                0.14454,                0.13714,                0.06166,                      0,                    inf,                      0,               0.026832,               0.026832,               0.026832
                     10,                 2.2906,                 2.3436,                  1.235,                0.75079,                0.00556,                0.00034,                0.00022,                      0,                    inf,                      0,               0.026436,               0.026436,               0.026436
                     11,                 2.2258,                 2.1246,                 1.2132,                0.42511,                0.19079,                0.20267,                0.08674,                      0,                    inf,                      0,                0.02604,                0.02604,                0.02604
                     12,                  2.191,                   2.11,                 1.2073,                0.00931,                0.19703,                0.01424,                0.00608,                      0,                    inf,                      0,               0.025644,               0.025644,               0.025644
                     13,                 2.1219,                 1.9396,                 1.1755,                0.70622,                0.20038,                 0.2489,                 0.0924,                      0,                    inf,                      0,               0.025248,               0.025248,               0.025248
                     14,                 2.1304,                 1.9232,                 1.1631,                0.59376,                0.29517,                0.29241,                0.15247,                      0,                    inf,                      0,               0.024852,               0.024852,               0.024852
                     15,                 2.0797,                 1.8374,                 1.1639,                 0.6367,                0.22505,                0.34094,                0.19071,                      0,                    inf,                      0,               0.024456,               0.024456,               0.024456
                     16,                 2.0518,                 1.8009,                 1.1328,                0.40953,                0.32047,                0.39389,                0.15839,                      0,                    inf,                      0,                0.02406,                0.02406,                0.02406
                     17,                 1.9899,                 1.6763,                 1.1304,                0.15038,                0.29277,                0.22054,                0.10151,                      0,                    inf,                      0,               0.023664,               0.023664,               0.023664
                     18,                 1.9261,                 1.6139,                 1.1182,                0.64958,                0.46791,                0.46221,                 0.2403,                      0,                    inf,                      0,               0.023268,               0.023268,               0.023268
                     19,                 1.8776,                 1.5965,                 1.0915,                0.93416,                0.17515,                0.20465,                0.08305,                      0,                    inf,                      0,               0.022872,               0.022872,               0.022872
                     20,                  1.851,                 1.5752,                 1.0964,                0.87547,                0.18267,                0.21201,                0.13216,                      0,                    inf,                      0,               0.022476,               0.022476,               0.022476
                     21,                 1.8059,                 1.4981,                 1.0705,                0.67269,                0.25911,                0.27138,                0.13602,                      0,                    inf,                      0,                0.02208,                0.02208,                0.02208
                     22,                 1.7969,                 1.5528,                 1.0978,                0.81863,                0.39842,                0.49665,                0.21951,                      0,                    inf,                      0,               0.021684,               0.021684,               0.021684
                     23,                 1.7863,                 1.4839,                 1.0742,                 0.5721,                0.51188,                0.49869,                0.24354,                      0,                    inf,                      0,               0.021288,               0.021288,               0.021288
                     24,                 1.8202,                 1.5181,                 1.1015,                0.54624,                0.26495,                 0.3543,                0.18714,                      0,                    inf,                      0,               0.020892,               0.020892,               0.020892
                     25,                 1.7689,                 1.4538,                 1.0797,                0.67606,                 0.4626,                0.49272,                0.25528,                      0,                    inf,                      0,               0.020496,               0.020496,               0.020496
                     26,                  1.735,                 1.3734,                 1.0739,                0.64018,                0.34633,                0.45493,                0.23562,                      0,                    inf,                      0,                 0.0201,                 0.0201,                 0.0201
                     27,                 1.7139,                  1.329,                   1.07,                0.68958,                0.46758,                0.59029,                 0.2891,                      0,                    inf,                      0,               0.019704,               0.019704,               0.019704
                     28,                 1.7378,                 1.3206,                 1.0786,                0.71041,                0.52968,                0.62858,                0.31114,                      0,                    inf,                      0,               0.019308,               0.019308,               0.019308
                     29,                 1.6774,                 1.3614,                 1.0564,                0.63744,                0.60833,                0.62752,                 0.3087,                      0,                    inf,                      0,               0.018912,               0.018912,               0.018912
                     30,                 1.7273,                 1.3112,                 1.0699,                0.08929,                0.11364,                0.09211,                0.02906,                      0,                    inf,                      0,               0.018516,               0.018516,               0.018516
                     31,                 1.6719,                 1.2668,                 1.0401,                0.16735,                 0.3459,                0.25652,                0.11187,                      0,                    inf,                      0,                0.01812,                0.01812,                0.01812
                     32,                 1.6508,                 1.2196,                 1.0315,                0.54116,                 0.3545,                 0.4133,                0.20159,                      0,                    inf,                      0,               0.017724,               0.017724,               0.017724
                     33,                 1.6174,                 1.1951,                 1.0275,                0.73086,                0.47602,                0.53887,                 0.2597,                      0,                    inf,                      0,               0.017328,               0.017328,               0.017328
                     34,                 1.5594,                 1.1691,                 1.0155,                0.54291,                0.56392,                0.50092,                0.28069,                      0,                    inf,                      0,               0.016932,               0.016932,               0.016932
                     35,                 1.5757,                 1.1252,                 1.0164,                0.65484,                0.56977,                0.58631,                0.32299,                      0,                    inf,                      0,               0.016536,               0.016536,               0.016536
                     36,                 1.5837,                 1.1608,                 1.0265,                0.75151,                0.52776,                0.61977,                0.33557,                      0,                    inf,                      0,                0.01614,                0.01614,                0.01614
                     37,                 1.5787,                 1.1347,                 1.0206,                0.60235,                 0.5503,                0.58284,                0.31034,                      0,                    inf,                      0,               0.015744,               0.015744,               0.015744
                     38,                 1.5171,                 1.0277,                0.99359,                0.77724,                0.54778,                0.61993,                0.34504,                      0,                    inf,                      0,               0.015348,               0.015348,               0.015348
                     39,                 1.5118,                 1.0332,                 1.0033,                 0.7117,                0.50718,                0.57981,                0.31597,                      0,                    inf,                      0,               0.014952,               0.014952,               0.014952
                     40,                 1.4772,                 1.0135,                 1.0056,                0.74649,                0.54942,                0.63345,                0.34829,                      0,                    inf,                      0,               0.014556,               0.014556,               0.014556
                     41,                 1.5218,                 1.0042,                0.99769,                0.83145,                0.59178,                0.67731,                0.36724,                      0,                    inf,                      0,                0.01416,                0.01416,                0.01416
                     42,                 1.4793,                 0.9622,                 1.0006,                0.74487,                0.50759,                0.57006,                 0.3036,                      0,                    inf,                      0,               0.013764,               0.013764,               0.013764
                     43,                 1.4223,                 0.9206,                0.97006,                0.70699,                0.58515,                0.64024,                0.34611,                      0,                    inf,                      0,               0.013368,               0.013368,               0.013368
                     44,                 1.4719,                0.95549,                  1.004,                 0.7083,                0.32947,                0.46042,                0.25315,                      0,                    inf,                      0,               0.012972,               0.012972,               0.012972
                     45,                 1.4836,                 0.9373,                 1.0022,                 0.8031,                 0.5703,                0.65855,                0.37362,                      0,                    inf,                      0,               0.012576,               0.012576,               0.012576
                     46,                  1.382,                0.91344,                0.96644,                0.67167,                 0.6831,                0.70963,                0.38718,                      0,                    inf,                      0,                0.01218,                0.01218,                0.01218
                     47,                 1.3838,                0.87582,                0.95824,                0.78302,                0.51519,                0.65444,                0.36256,                      0,                    inf,                      0,               0.011784,               0.011784,               0.011784
                     48,                 1.3734,                0.85556,                0.96196,                 0.8873,                0.48859,                0.65532,                0.35698,                      0,                    inf,                      0,               0.011388,               0.011388,               0.011388
                     49,                 1.3837,                0.88232,                0.96807,                0.78221,                0.62631,                0.71497,                 0.3663,                      0,                    inf,                      0,               0.010992,               0.010992,               0.010992
                     50,                 1.3608,                0.84922,                0.96657,                0.79897,                0.54887,                0.70727,                0.40538,                      0,                    inf,                      0,               0.010596,               0.010596,               0.010596
                     51,                  1.353,                0.81028,                0.97671,                0.77109,                0.56987,                0.67936,                0.38185,                      0,                    inf,                      0,                 0.0102,                 0.0102,                 0.0102
                     52,                  1.285,                0.74389,                0.93039,                0.72424,                 0.6122,                0.67345,                0.37585,                      0,                    inf,                      0,               0.009804,               0.009804,               0.009804
                     53,                 1.3386,                0.82841,                 0.9685,                0.63455,                0.43811,                0.52493,                  0.287,                      0,                    inf,                      0,               0.009408,               0.009408,               0.009408
