                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95647,                 183.23,                0.62037,                      0,                      0,                      0,                      0,                 2.2102,                  12894,                0.88454,             0.00040625,             0.00040625,             0.00040625
                      2,                 1.3743,                 15.032,                0.88479,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00078218,             0.00078218,             0.00078218
                      3,                 1.1823,                 4.0606,                0.61118,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                      4,                 1.0282,                 2.4192,                0.59949,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.1712,                 2.8071,                0.67837,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.4193,                  2.857,                 0.6829,                      0,                      0,                      0,                      0,                0.62809,                0.96924,                0.48985,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.1443,                 2.4366,                0.56267,                      0,                      0,                      0,                      0,                 0.7471,                 1.4769,                0.38144,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.0524,                 1.8905,                0.53529,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.4722,                 2.7315,                0.72443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000755,               0.000755,               0.000755
                     10,                 1.1795,                  2.331,                0.63663,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00069313,             0.00069313,             0.00069313
                     11,                0.81005,                 1.9236,                0.46956,                      0,                      0,                      0,                      0,                 1.6253,                 3.2622,                0.78026,             0.00063125,             0.00063125,             0.00063125
                     12,                0.82129,                 1.7007,                0.45734,                      0,                      0,                      0,                      0,                 1.6954,                 3.9591,                0.84185,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.0202,                 2.0887,                0.52379,                      0,                      0,                      0,                      0,                   1.62,                  4.122,                0.77624,              0.0005075,              0.0005075,              0.0005075
                     14,                0.86764,                 1.8144,                0.47118,                      0,                      0,                      0,                      0,                 1.2143,                 2.3981,                0.52275,             0.00044563,             0.00044563,             0.00044563
                     15,                0.93136,                 1.9077,                0.50276,                      0,                      0,                      0,                      0,                 1.4116,                 2.4951,                 1.0961,             0.00038375,             0.00038375,             0.00038375
                     16,                0.72418,                 1.9141,                0.41274,                      0,                      0,                      0,                      0,                 2.2338,                 3.5749,                 1.0848,             0.00032188,             0.00032188,             0.00032188
                     17,                0.73619,                  1.573,                 0.4039,                      0,                      0,                      0,                      0,                 1.9958,                 3.3642,                0.96059,                0.00026,                0.00026,                0.00026
                     18,                0.76969,                 1.9357,                0.42611,                      0,                      0,                      0,                      0,                 1.9086,                 3.2679,                0.99269,             0.00019813,             0.00019813,             0.00019813
                     19,                0.71399,                 1.6468,                0.45396,                      0,                      0,                      0,                      0,                  1.636,                 3.4121,                0.78949,             0.00013625,             0.00013625,             0.00013625
                     20,                0.87814,                  1.884,                0.48975,                      0,                      0,                      0,                      0,                 1.4394,                 3.5521,                0.73178,             7.4375e-05,             7.4375e-05,             7.4375e-05
