                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6551,                 15.239,                 1.5371,                0.68046,                0.12288,                0.11948,                 0.0705,                 2.5741,                 84.936,                  1.614,              0.0002375,              0.0002375,              0.0002375
                      2,                  2.104,                 3.6707,                 1.1837,                0.11087,                0.06911,                0.06048,                0.02014,                 2.3206,                    inf,                 1.3295,             0.00048106,             0.00048106,             0.00048106
                      3,                 2.1305,                 2.6467,                 1.1503,                0.11087,                0.06911,                0.06048,                0.02014,                 3.5812,                    inf,                 11.455,             0.00071803,             0.00071803,             0.00071803
                      4,                 1.9406,                 2.3567,                 1.1313,                0.04412,                   0.05,                0.00914,                 0.0028,                    nan,                    nan,                    nan,             0.00094839,             0.00094839,             0.00094839
                      5,                 1.9687,                  2.113,                  1.142,                0.06062,                0.09322,                0.03283,                0.01338,                 2.7195,                    nan,                 1.7011,              0.0011722,              0.0011722,              0.0011722
                      6,                 1.9652,                 2.1505,                 1.1386,                0.10355,                0.14105,                0.06826,                0.02644,                  2.614,                 68.076,                   1.55,              0.0011675,              0.0011675,              0.0011675
                      7,                 2.0205,                 2.0406,                 1.1375,                0.10355,                0.14105,                0.06826,                0.02644,                      0,                    nan,                      0,               0.001151,               0.001151,               0.001151
                      8,                  1.986,                 1.9914,                 1.1244,                0.06003,                0.16412,                0.08747,                0.05103,                 2.3771,                 4.8616,                 1.3789,              0.0011345,              0.0011345,              0.0011345
                      9,                 1.9074,                  1.847,                 1.1131,                0.06003,                0.16412,                0.08747,                0.05103,                 3.7293,                    inf,                 2.6509,               0.001118,               0.001118,               0.001118
                     10,                 1.9717,                   1.87,                 1.1293,                 0.4696,                0.30874,                0.34954,                0.15742,                 2.0195,                 3.0016,                 1.2609,              0.0011015,              0.0011015,              0.0011015
                     11,                 1.8326,                 1.6953,                 1.0967,                0.66537,                0.17176,                0.25168,                 0.1036,                 2.3499,                 3.7813,                 1.3783,               0.001085,               0.001085,               0.001085
                     12,                 1.8604,                 1.6802,                    1.1,                0.89858,                0.31916,                0.42416,                0.18237,                 1.9584,                 2.5222,                 1.2442,              0.0010685,              0.0010685,              0.0010685
                     13,                 1.7836,                 1.5949,                 1.1073,                0.62968,                0.33345,                0.40392,                 0.2027,                 1.9293,                 2.0862,                 1.2358,               0.001052,               0.001052,               0.001052
                     14,                 1.7234,                 1.5046,                 1.0801,                0.66977,                0.41378,                 0.5058,                0.27622,                  1.902,                 1.9307,                 1.2223,              0.0010355,              0.0010355,              0.0010355
                     15,                 1.7465,                 1.4533,                 1.0693,                0.56163,                0.45387,                0.48233,                0.22563,                 1.9593,                 2.2382,                 1.2684,               0.001019,               0.001019,               0.001019
                     16,                 1.6922,                 1.4182,                  1.039,                0.54561,                0.54721,                0.53403,                0.29184,                 1.8516,                 1.6978,                 1.1978,              0.0010025,              0.0010025,              0.0010025
